currentScore,opponentScore,pendingScore,remainingDice,turnNumber,isOpen,scoreGap,pointsNeededToWin,bustProbability,expectedValue,decidedToHold,outcome,won
0,0,0,6,1,false,0,10000,0.033,357.5,false,0,true
0,0,750,1,2,false,0,10000,0.671,-465.9,false,750,true
0,0,800,6,2,false,0,10000,0.033,340.3,false,50,true
0,0,1200,3,2,true,0,10000,0.278,-237.6,true,1200,true
400,0,400,5,3,true,400,9600,0.080,198.6,true,400,true
1150,0,750,1,4,true,1150,8850,0.671,-474.3,true,750,true
1450,0,300,4,5,true,1450,8550,0.159,94.1,true,300,true
1650,0,200,3,6,true,1650,8350,0.278,32.4,true,200,true
1650,0,300,2,6,true,1650,8350,0.435,-81.2,true,0,true
2050,1000,400,5,7,true,1050,7950,0.080,193.2,true,400,true
2450,1250,400,5,8,true,1200,7550,0.080,198.3,true,400,true
2650,1450,200,3,9,true,1200,7350,0.278,34.1,true,200,true
2650,1450,100,5,9,true,1200,7350,0.080,207.8,false,100,true
2650,1450,600,2,9,true,1200,7350,0.435,-209.9,true,600,true
3650,1450,400,4,10,true,2200,6350,0.159,76.3,true,400,true
3900,1650,250,3,11,true,2250,6100,0.278,18.8,true,250,true
3900,2850,300,4,12,true,1050,6100,0.159,96.4,true,0,true
4400,3050,500,3,13,true,1350,5600,0.278,-47.8,true,500,true
4400,3300,0,6,14,true,1100,5600,0.033,363.3,false,0,true
4400,3300,500,3,14,true,1100,5600,0.278,-51.5,true,500,true
5850,3300,950,6,15,true,2550,4150,0.033,322.8,true,950,true
6250,3500,400,5,16,true,2750,3750,0.080,197.3,true,400,true
6250,3500,150,4,16,true,2750,3750,0.159,123.1,false,150,true
6250,3500,150,4,16,true,2750,3750,0.159,121.1,false,-150,true
7300,3800,1050,2,17,true,3500,2700,0.435,-414.4,true,1050,true
7300,3800,50,5,17,true,3500,2700,0.080,221.7,false,50,true
7300,3800,50,5,17,true,3500,2700,0.080,219.8,false,-50,true
7300,4500,300,4,18,true,2800,2700,0.159,96.5,true,0,true
7300,4500,600,2,18,true,2800,2700,0.435,-226.4,true,600,true
9900,4500,2000,1,19,true,5400,100,0.671,-1305.3,true,2000,true
9900,4500,150,4,19,true,5400,100,0.159,120.5,false,150,true
9900,4500,250,3,19,true,5400,100,0.278,19.8,false,100,true
9900,4500,400,1,19,true,5400,100,0.671,-239.6,true,0,true
9900,6000,400,2,20,true,3900,100,0.435,-127.2,true,-400,true
9900,6000,100,4,20,true,3900,100,0.159,128.9,false,100,true
9900,6000,200,2,20,true,3900,100,0.435,-40.2,true,0,true
9950,6550,50,5,21,true,3400,50,0.080,219.3,true,50,true
9950,6550,100,5,21,true,3400,50,0.080,219.2,false,100,true
9950,6550,300,3,21,true,3400,50,0.278,3.6,true,0,true
9950,6850,1500,6,22,true,3100,50,0.033,301.8,true,-1500,true
9950,6850,500,3,22,true,3100,50,0.278,-45.1,true,0,true
9950,7350,1000,3,23,true,2600,50,0.278,-182.5,true,-1000,true
9950,7550,100,5,24,true,2400,50,0.080,216.8,true,-100,true
9950,7750,150,4,25,true,2200,50,0.159,121.2,true,-150,true
9950,7750,200,3,25,true,2200,50,0.278,31.3,false,200,true
9950,7750,250,2,25,true,2200,50,0.435,-63.2,true,0,true
10000,8350,50,5,26,true,1650,0,0.080,223.0,true,50,true
0,0,350,2,1,false,0,10000,0.435,-101.3,false,350,false
0,0,350,2,1,false,0,10000,0.435,-107.1,false,-350,false
0,0,200,3,2,false,0,10000,0.278,32.3,false,200,false
0,0,250,2,2,false,0,10000,0.435,-57.1,false,50,false
0,0,350,6,2,false,0,10000,0.033,352.7,false,100,false
0,0,450,4,2,false,0,10000,0.159,70.2,false,100,false
0,0,650,1,2,false,0,10000,0.671,-406.9,false,200,false
0,0,650,1,2,false,0,10000,0.671,-411.6,false,-650,false
0,400,150,4,3,false,-400,10000,0.159,121.9,false,150,false
0,400,300,2,3,false,-400,10000,0.435,-79.1,false,150,false
0,400,300,2,3,false,-400,10000,0.435,-82.0,false,-300,false
0,1150,350,2,4,false,-1150,10000,0.435,-105.2,false,350,false
0,1150,400,1,4,false,-1150,10000,0.671,-242.2,false,50,false
0,1150,400,1,4,false,-1150,10000,0.671,-240.2,false,-400,false
